,,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial    22,0:01:00-0:02:00,581,test2,saline,463.577,7.72629,1,60,60,0,0,-,0,0,-,3,3,72.88
Result 1,Trial    22,0:02:00-0:03:00,581,test2,saline,324.817,5.41361,1,60,120,0,0,-,0,0,-,1,1.88,159.88
Result 1,Trial    22,0:03:00-0:04:00,581,test2,saline,451.764,7.52941,1,60,180,0,0,-,0,0,-,4,6.56,191.04
Result 1,Trial    22,0:04:00-0:05:00,581,test2,saline,541.438,9.02397,1,60,240,0,0,-,0,0,-,2,5.48,279.36
Result 1,Trial    22,0:05:00-0:06:00,581,test2,saline,244.891,4.08151,1,60,300,0,0,-,0,0,-,3,5.32,321.04
Result 1,Trial    22,0:06:00-0:07:00,581,test2,saline,362.433,6.04055,1,60,360,0,0,-,0,0,-,4,13.16,374.48
Result 1,Trial    22,0:07:00-0:08:00,581,test2,saline,414.718,6.91197,1,60,420,0,0,-,0,0,-,3,12.96,431.12
Result 1,Trial    22,0:08:00-0:09:00,581,test2,saline,420.821,7.01369,1,60,480,0,0,-,0,0,-,7,5.88,482.88
Result 1,Trial    22,0:09:00-0:10:00,581,test2,saline,341.71,5.69517,1,60,540,0,0,-,0,0,-,2,2.24,568.56
Result 1,Trial    22,0:10:00-0:11:00,581,test2,saline,211.806,3.53011,1,60,600,0,0,-,0,0,-,2,7,605.96
Result 1,Trial    22,0:11:00-0:12:00,581,test2,saline,113.072,1.88454,1,60,660,0,0,-,0,0,-,0,0,-
Result 1,Trial    22,0:12:00-0:13:00,581,test2,saline,344.091,5.73484,1,60,720,0,0,-,0,0,-,2,3.56,748.56
Result 1,Trial    22,0:13:00-0:14:00,581,test2,saline,317.551,5.29252,1,60,780,0,0,-,0,0,-,1,9.16,804.52
Result 1,Trial    22,0:14:00-0:15:00,581,test2,saline,422.122,7.03537,1,60,840,0,0,-,0,0,-,4,22.12,847.44
Result 1,Trial    22,0:15:00-0:16:00,581,test2,saline,209.723,3.49538,1,60,900,0,0,-,0,0,-,2,10.4,922.48
Result 1,Trial    22,0:16:00-0:17:00,581,test2,saline,285.418,4.75697,1,60,960,0,0,-,0,0,-,0,0,-
Result 1,Trial    22,0:17:00-0:18:00,581,test2,saline,274.491,4.57485,1,60,1020,0,0,-,0,0,-,4,9.96,1035
Result 1,Trial    22,0:18:00-0:19:00,581,test2,saline,277.042,4.61736,1,60,1080,0,0,-,0,0,-,2,23.64,1084.08
Result 1,Trial    22,0:19:00-0:20:00,581,test2,saline,74.0543,1.23424,1,60,1140,0,0,-,0,0,-,0,0,-
Result 1,Trial    23,Start-0:01:00,578,test2,drug,691.07,11.5255,1,60,0,0,0,-,0,0,-,2,4.52,30
Result 1,Trial    23,0:01:00-0:02:00,578,test2,drug,515.763,8.59605,1,60,60,0,0,-,0,0,-,3,3.52,69.8
Result 1,Trial    23,0:02:00-0:03:00,578,test2,drug,637.934,10.6322,1,60,120,0,0,-,0,0,-,1,0.32,156.4
Result 1,Trial    23,0:03:00-0:04:00,578,test2,drug,465.149,7.75249,1,60,180,0,0,-,0,0,-,2,1.8,199.72
Result 1,Trial    23,0:04:00-0:05:00,578,test2,drug,688.074,11.4679,1,60,240,0,0,-,0,0,-,6,7.16,272.2
Result 1,Trial    23,0:05:00-0:06:00,578,test2,drug,672.489,11.2081,1,60,300,0,0,-,0,0,-,6,9.04,330.92
Result 1,Trial    23,0:06:00-0:07:00,578,test2,drug,471.384,7.8564,1,60,360,0,0,-,0,0,-,4,26.28,360.4
Result 1,Trial    23,0:07:00-0:08:00,578,test2,drug,271.631,4.52718,1,60,420,0,0,-,0,0,-,2,38.56,426.08
Result 1,Trial    23,0:08:00-0:09:00,578,test2,drug,581.796,9.6966,1,60,480,0,0,-,0,0,-,3,5.4,489.24
Result 1,Trial    23,0:09:00-0:10:00,578,test2,drug,393.399,6.55665,1,60,540,0,0,-,0,0,-,4,5.12,540
Result 1,Trial    23,0:10:00-0:11:00,578,test2,drug,356.505,5.94174,1,60,600,0,0,-,0,0,-,1,1.56,604.92
Result 1,Trial    23,0:11:00-0:12:00,578,test2,drug,272.309,4.53848,1,60,660,0,0,-,0,0,-,3,4.6,672.64
Result 1,Trial    23,0:12:00-0:13:00,578,test2,drug,265.196,4.41993,1,60,720,0,0,-,0,0,-,2,13.24,721.76
Result 1,Trial    23,0:13:00-0:14:00,578,test2,drug,319.264,5.32106,1,60,780,0,0,-,0,0,-,2,11.84,803.72
Result 1,Trial    23,0:14:00-0:15:00,578,test2,drug,385.5,6.425,1,60,840,0,0,-,0,0,-,2,2.24,840.64
Result 1,Trial    23,0:15:00-0:16:00,578,test2,drug,318.789,5.31316,1,60,900,0,0,-,0,0,-,2,5.48,921.4
Result 1,Trial    23,0:16:00-0:17:00,578,test2,drug,231.84,3.864,1,60,960,0,0,-,0,0,-,2,8.96,993.56
Result 1,Trial    23,0:17:00-0:18:00,578,test2,drug,271.871,4.53118,1,60,1020,0,0,-,0,0,-,1,3.68,1039.6
Result 1,Trial    23,0:18:00-0:19:00,578,test2,drug,74.9131,1.24855,1,60,1080,0,0,-,0,0,-,3,14.16,1124.36
Result 1,Trial    23,0:19:00-0:20:00,578,test2,drug,169.647,2.82745,1,60,1140,0,0,-,0,0,-,12,15.04,1140
Result 1,Trial    24,Start-0:01:00,589,test2,drug,823.675,13.7371,1,60,0,0,0,-,0,0,-,1,0.96,10.12
Result 1,Trial    24,0:01:00-0:02:00,589,test2,drug,595.462,9.92436,1,60,60,0,0,-,0,0,-,2,2.28,64.84
Result 1,Trial    24,0:02:00-0:03:00,589,test2,drug,571.921,9.53201,1,60,120,0,0,-,0,0,-,1,0.84,124.68
Result 1,Trial    24,0:03:00-0:04:00,589,test2,drug,633.849,10.5642,1,60,180,0,0,-,0,0,-,2,2.24,182.4
Result 1,Trial    24,0:04:00-0:05:00,589,test2,drug,322.562,5.37603,1,60,240,0,0,-,0,0,-,1,2.48,254.6
Result 1,Trial    24,0:05:00-0:06:00,589,test2,drug,540.692,9.01154,1,60,300,0,0,-,0,0,-,0,0,-
Result 1,Trial    24,0:06:00-0:07:00,589,test2,drug,440.373,7.33954,1,60,360,0,0,-,0,0,-,2,2.88,365.56
Result 1,Trial    24,0:07:00-0:08:00,589,test2,drug,203.067,3.38445,1,60,420,0,0,-,0,0,-,0,0,-
Result 1,Trial    24,0:08:00-0:09:00,589,test2,drug,503.452,8.39087,1,60,480,0,0,-,0,0,-,2,6.4,505.32
Result 1,Trial    24,0:09:00-0:10:00,589,test2,drug,265.127,4.41879,1,60,540,0,0,-,0,0,-,1,5.16,593.52
Result 1,Trial    24,0:10:00-0:11:00,589,test2,drug,200.538,3.34229,1,60,600,0,0,-,0,0,-,1,0.44,617.6
Result 1,Trial    24,0:11:00-0:12:00,589,test2,drug,367.511,6.12518,1,60,660,0,0,-,0,0,-,0,0,-
Result 1,Trial    24,0:12:00-0:13:00,589,test2,drug,299.045,4.98409,1,60,720,0,0,-,0,0,-,2,3.12,733.44
